offline_datapoint_10 1573564216 99,804
offline_datapoint_29 1573564216 0,666
offline_datapoint_22 1573564216 13277,867
offline_datapoint_4 1573564216 0,002
offline_datapoint_11 1573564221 158944,000
offline_datapoint_5 1573564221 2339,000
offline_datapoint_26 1573564221 255528960,000
offline_datapoint_14 1573564221 248741888,000
offline_datapoint_3 1573564221 8854056960,000
offline_datapoint_9 1573564221 97800192,000
offline_datapoint_25 1573564221 1793,000
offline_datapoint_19 1573564219 0,000
offline_datapoint_8 1573564219 245,945
offline_datapoint_21 1573564221 97800192,000
offline_datapoint_1 1573564219 0,000
offline_datapoint_20 1573564221 4934254592,000
offline_datapoint_7 1573564221 5008969728,000
offline_datapoint_6 1573564219 0,130
offline_datapoint_12 1573564219 2,503
