100 1573564298 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564299 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564300 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564301 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564302 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564303 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564304 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564305 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564306 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564307 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564308 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564309 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564310 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564311 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564312 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564313 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564314 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564315 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564316 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564317 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564318 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564319 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564320 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564321 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564322 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564323 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564324 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564325 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564326 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564327 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564328 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564329 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564330 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564331 1,200000 -1,000000 -101,000000 0,000000 0,000000
